se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
6.016666667,0.84,29,,0.66
16.23333333,0.74,,,0.01
6,0.81,29.1,,0.52
16.3,0.68,,,0.2
6.933333333,0.7,27.3,309,0.45
16.38333333,0.71,,,0.18
7.016666667,0.76,27.5,310,0.48
16.36666667,0.72,,,0.4
16.31666667,0.77,,,0.58
16.33333333,0.89,,,0.46
6.616666667,0.24,27.8,306,0.07
6.183333333,0.23,28.2,,0.15
6.583333333,0.31,28.2,306,0.31
16.36666667,0.86,,,0.44
15.91666667,0.85,,,0.56
6.366666667,0.58,28.7,308,0.23
16.01666667,0.95,,,0.61
6.516666667,0.36,28.7,,0.16
16.05,0.96,,,0.58
6.766666667,0.46,27.8,305,0.39
15.98333333,0.42,,,0.21
16.06666667,0.36,,,0.18
15.91666667,0.54,28.3,291,0.38
6.733333333,0.89,28.2,306,0.71
15.61666667,0.66,27.7,289,0.24
16.28333333,0.37,28.3,293,0.02
16.38333333,0.4,28,294,0.14
16.16666667,0.93,,,0.63
16.38333333,0.33,28.7,291,0.13
16.2,0.91,,,0.52
16.38333333,0.33,28.2,299,0.22
16.6,1.12,28.5,473,0.25
6.55,0.44,28.3,,0.34
16.51666667,1.07,28.5,468,0.08
6.183333333,0.62,29.2,310,0.54
6.283333333,0.73,28.2,308,0.26
6.35,0.64,28.8,,0.15
6.183333333,1.35,27.8,,0.8
6.15,1.19,28,,0.82
5.966666667,0.57,28.1,305,0.18
6.133333333,1.09,28.2,,0.84
16.68333333,0.38,28.2,293,0.26
16.68333333,0.44,28.7,286,0.05
6.716666667,0.87,27,318,0.45
6.466666667,0.59,28.2,,0.27
6.616666667,0.36,28,326,0.01
6.55,0.54,28.2,313,0.05
6.033333333,0.93,29,,0.42
6.8,0.09,,,0.03
6.683333333,0.37,28.2,,0.13
6.65,0.25,28.2,,0.26
6.416666667,0.6,28.4,,0.41
7.116666667,0.74,28.3,299,0.55
6.133333333,1.19,28,,0.49
6.733333333,0.6,27.9,306,0.32
6.016666667,1.12,28.2,,0.57
6.583333333,0.51,28.8,307,0.58
6.533333333,0.57,28.3,,0.27
6.116666667,0.6,27.7,308,0.38
6.433333333,0.66,28.2,307,0.22
6.433333333,0.89,28.4,,0.57
16.83333333,0.64,28.1,302,0.43
6.6,0.27,28.8,,0.15
6.7,1.02,28,320,0.41
6.816666667,0.53,27.5,309,0.11
16.6,1.23,28.8,472,0.27
16.58333333,1.19,28.5,470,0.13
6.183333333,0.29,28.2,,0.14
16.6,1.08,28.5,470,0.04
16.75,0.39,27.9,289,0.05
7,0.63,27.5,312,0.47
6.4,0.67,27.9,306,0.21
6.616666667,0.95,28.9,305,0.66
16.36666667,0.81,,,0.43
15.98333333,0.91,,,0.49
16.16666667,0.61,27.9,290,0.12
16.01666667,0.65,,,0.1
6.95,0.75,27.2,311,0.43
16.13333333,0.59,,,0.25
16.75,0.44,28.5,288,0.03
6.666666667,0.57,28.1,309,0.37
6.083333333,0.32,28.1,,0.12
6.1,0.34,28.1,,0.06
6.183333333,0.47,28.2,,0.04
6.616666667,0.32,28.1,310,0.22
6.166666667,0.53,28.6,,0.09
6.65,0.23,27.7,307,0.22
6.183333333,0.48,28.2,,0.1
16.55,1.27,27.5,,0.93
6.633333333,0.34,28,304,0.24
6.516666667,0.31,28.1,307,0.23
6.5,0.31,28.2,308,0.28
6.866666667,0.56,,,0.25
6.8,0.69,,,0.33
6.85,0.27,,,0.1
16.88333333,0.7,27.7,306,0.43
6.95,1.08,,,0.75
16.7,0.74,27.6,308,0.3
6.933333333,0.49,,,0.24
17.31666667,0.6,27.6,310,0.27
6.633333333,1.02,,,0.65
16.98333333,0.47,27.7,,0.18
16.9,1.56,27.7,308,1.19
6.616666667,1.11,,,0.7
16.45,1.86,27.6,308,0.8
17.01666667,0.31,28,,0.1
6.216666667,0.51,28.5,478,0.21
6.583333333,1.04,,,0.59
16.96666667,0.94,27.7,,0.22
16.48333333,0.91,27.2,307,0.27
16.93333333,0.84,27.1,,0.18
16.46666667,0.74,27.1,310,0.28
17.48333333,0.68,26.9,,0.4
6.566666667,1.01,,,0.86
16.45,0.69,27.5,306,0.12
6.183333333,0.6,28,473,0.09
6.5,0.49,,,0.31
16.38333333,0.71,27.3,305,0.23
17.45,0.65,27.1,,0.36
6.166666667,0.68,28,292,0.31
6.483333333,0.46,,,0.25
16.26666667,0.81,27.3,305,0.31
6.116666667,0.76,28.2,294,0.47
17.41666667,0.61,27.4,,0.4
6.35,0.46,,,0.29
16.9,0.58,28.1,309,0.19
6.016666667,0.7,27.8,291,0.58
17.31666667,0.59,27.3,,0.14
6.35,0.45,,,0.27
16.45,1.08,27.7,310,0.24
17.3,0.64,27.8,,0.19
7.033333333,0.78,27.1,298,0.77
6.35,0.43,,,0.32
16.06666667,1.13,27.5,313,0.54
16.58333333,1.24,27.4,,0.79
7.05,0.72,27,293,0.45
6.666666667,0.11,,,0.01
15.53333333,0.42,27.6,310,0.11
16.46666667,1.08,27.2,,0.67
7,0.65,27.3,290,0.7
15.15,0.41,27.7,312,0.01
16.5,1.06,27.3,,0.61
16.36666667,0.69,26.6,310,0.36
6.933333333,0.59,27.2,290,0.33
6.466666667,0.06,,,0.01
16.5,1.04,27.3,,0.59
16.35,0.84,26.9,310,0.5
6.95,0.75,27.2,289,0.32
16.93333333,0.65,26.9,,0.09
6.5,0.17,,,0.05
16.33333333,0.66,26.8,312,0.08
6.55,0.75,27,290,0.48
16.95,0.6,26.9,,0.26
6.45,0.77,26.8,291,0.47
6.5,0.08,,,0.02
16.4,0.65,27.1,312,0.28
6.4,0.75,26.9,297,0.29
16.83333333,0.67,27,,0.39
6.35,0.73,27.1,296,0.33
6.116666667,0.71,,,0.42
16.86666667,0.65,26.9,,0.34
16.41666667,0.59,27.3,310,0.03
6.383333333,0.76,27.9,297,0.42
6.1,0.76,,,0.55
16.88333333,0.63,27.2,,0.31
7.35,0.1,27.7,481,0.06
6.15,0.81,,,0.49
7.366666667,0.1,27.5,472,0.04
6.2,0.76,,,0.45
7.283333333,0.99,27.6,295,0.98
6.216666667,0.82,,,0.5
7.266666667,1,27.5,295,1.02
7.233333333,1.15,27.7,295,1.05
4.85,0.43,,,0.16
4.783333333,0.53,,,0.19
7.083333333,0.41,26.9,288,0.22
4.816666667,0.54,,,0.22
6.866666667,0.42,16.5,231,0.12
4.95,0.47,,,0.16
5.066666667,0.49,,,0.25
6.483333333,0.44,27,229,0.21
6.466666667,0.46,27.2,228,0.11
5.85,0.26,27.2,473,0.14
5.85,0.26,27.2,473,0.14
5.9,0.25,27.1,471,0.12
5.933333333,0.23,26.8,469,0.09
5.816666667,0.28,26.8,467,0.11
5.633333333,0.19,,,0.1
5.65,0.14,,,0.08
5.6,0.15,,,0.07
6.483333333,0.62,26.6,,0.19
6.516666667,0.6,26.5,,0.27
5.766666667,0.17,,,0.08
6.55,0.62,26.5,,0.3
6.566666667,0.6,26.9,,0.38
6.65,0.61,26.5,,0.23
7.116666667,0.63,27.7,,0.29
7.133333333,0.51,28.4,,0.45
7.133333333,0.43,28.8,,0.23
7.083333333,0.49,28,,0.26
7.066666667,0.45,28.2,,0.25
15.83333333,0.5,,,0.12
6.883333333,0.26,28,,0.15
5.4,0.96,26.9,375,0.63
6.783333333,0.38,27.8,,0.21
15.81666667,0.16,,,0.02
6.733333333,0.4,27.6,,0.26
5.333333333,1.12,27,321,0.63
5.383333333,1.34,27.1,353,0.11
6.533333333,0.24,28.3,,0.23
15.88333333,0.43,,,0.1
5.583333333,1.19,27.5,311,0.08
6.233333333,0.18,28.3,,0.1
15.96666667,0.79,,,0.32
5.583333333,1.14,27.5,300,0.06
16.5,0.67,,,0.59
16.46666667,0.69,,,0.26
16.51666667,0.7,,,0.23
6.216666667,0.27,28.3,,0.13
5.5,0.52,26.4,309,0.33
16.56666667,0.67,,,0.12
6.183333333,0.25,28.1,,0.07
5.466666667,0.61,26.6,307,0.52
16.46666667,0.77,,,0.27
5.516666667,0.57,26.9,310,0.33
6.166666667,0.28,28.1,,0.07
6.133333333,0.24,29.1,,0.09
5.3,0.52,26.9,309,0.32
16.1,1.2,,,0.22
7.816666667,0.3,28.3,,0.06
5.45,0.51,26.5,310,0.34
7.75,0.41,28.5,,0.1
6.816666667,0.28,26.9,316,0.12
16.56666667,0.57,28.1,310,0.12
16.23333333,1.35,,,0.75
7.683333333,0.62,29,,0.14
6.75,0.81,26.9,316,0.46
16.58333333,0.52,28,283,0.04
16.28333333,1.71,,,1.05
16.63333333,0.46,27.7,290,0.04
7.616666667,0.69,28.4,,0.1
16.26666667,1.48,,,1.13
16.68333333,0.4,28,284,0.11
7.583333333,0.64,29.9,,0.16
6.65,1.02,27.1,322,0.49
16.66666667,0.59,,,0.12
5.466666667,0.42,28.8,,0.04
16.68333333,0.55,,,0.14
6.633333333,0.86,27.4,313,0.11
5.483333333,0.39,28.4,,0.32
16.73333333,0.45,27.6,285,0.13
5.416666667,0.24,28.4,,0.09
6.666666667,0.27,27.3,314,0.01
16.58333333,0.52,28,299,0.52
16.96666667,0.6,,,0.16
16.63333333,0.42,28.4,284,0.22
5.416666667,0.28,29.2,,0.15
6.65,0.37,27.2,316,0.08
16.5,0.6,27.8,287,0.46
16.8,0.74,,,0.69
5.4,0.12,28.4,,0.03
16.85,0.86,,,0.32
16.48333333,0.61,28.3,285,0.43
15.65,0.62,28.4,236,0.26
16.36666667,0.47,28.6,292,0.1
16.41666667,0.49,28.6,283,0.21
16.35,0.37,28.5,283,0.05
6.683333333,0.55,27.6,317,0.18
16.31666667,0.38,28.5,286,0.37
6.65,0.52,27.3,313,0.34
15.23333333,0.39,28.6,286,0.26
6.7,0.7,27.9,307,0.42
15.88333333,1.14,28.8,464,0.37
6.483333333,0.34,28.1,307,0.27
15.91666667,1.13,28.3,461,0.05
16.5,0.49,28.2,283,0.11
17.55,0.53,28.4,286,0.18
6.533333333,0.45,28.1,306,0.18
16.46666667,0.52,27.8,284,0.21
6.5,0.46,28.7,307,0.14
6.466666667,0.61,28.2,309,0.32
6.466666667,0.61,28.4,308,0.42
6.2,0.93,28.1,309,0.68
6.666666667,0.67,28.3,313,0.13
6.583333333,0.56,28.5,311,0.34
6.583333333,0.85,29.2,313,0.7
6.766666667,0.59,28.2,308,0.31
7.266666667,0.96,28.2,310,0.67
6.95,1.02,28.7,310,0.58
7.366666667,0.7,28.2,312,0.35
6.266666667,0.88,28.7,309,0.52
5.916666667,0.85,28.9,310,0.61
6.166666667,0.91,28.3,313,0.7
6.166666667,0.93,28.3,313,0.46
6.366666667,0.86,29.2,311,0.44
6.366666667,0.87,28.7,310,0.74
6.5,0.86,28.9,308,0.45
16.61666667,0.96,28.8,322,0.57
16.58333333,0.91,29.7,310,0.82
16.55,0.96,29.8,311,0.23
16.51666667,0.84,29.5,307,0.57
15.73333333,0.83,28.9,308,0.28
16.25,0.8,28.3,312,0.4
16.28333333,0.81,30,314,0.51
6.633333333,0.66,,,0.32
6.833333333,0.75,28.3,290,0.02
16.43333333,0.7,28.9,310,0.38
16.5,0.6,29.6,315,0.31
6.85,0.7,28.4,286,0.1
16.58333333,0.71,28.9,312,0.36
6.85,0.83,28.4,285,0.58
6.6,0.46,,,0.28
17.18333333,0.73,28,314,0.1
7,0.73,28.4,286,0.42
6.966666667,0.69,28.5,284,0.39
16.88333333,1.07,28.1,316,0.05
6.5,0.46,,,0.21
7.816666667,0.37,28.5,462,0.21
16.63333333,0.89,27.7,310,0.19
6.516666667,0.73,,,0.43
16.33333333,0.7,27.9,316,0.06
6.516666667,0.33,28.5,,0.19
7.716666667,0.04,28.6,485,0.03
6.466666667,0.43,,,0.25
6.466666667,0.27,28.2,,0.14
7.716666667,0.05,27.9,451,0.03
15.95,0.98,28.2,311,0.17
7.116666667,0.02,,,0.01
7.55,0.46,28.7,459,0.13
16.41666667,0.6,28.2,310,0.09
7.116666667,0.02,,,0.01
6.3,0.66,27.9,,0.21
7.783333333,0.39,28.7,462,0.14
7.233333333,0.02,,,0.01
16.33333333,0.61,28.4,317,0.04
7.116666667,0.03,,,0.01
6.25,0.69,28.4,,0.22
7.85,0.51,28.5,297,0.11
16.33333333,0.55,27.7,308,0.2
7.116666667,0.02,,,0.01
7.566666667,0.39,28.3,291,0.04
6.183333333,0.44,,,0.24
7.283333333,0.63,28.3,293,0.21
16.33333333,0.6,28.1,311,0.19
6.116666667,0.45,,,0.26
6.883333333,0.57,28.4,292,0.03
6.15,0.46,,,0.28
16.31666667,0.55,28.1,310,0.08
6.883333333,0.54,28.5,294,0.21
6.583333333,0.81,28.9,466,0.29
17.15,0.68,27.5,,0.49
6.616666667,0.87,28.4,466,0.33
17.2,0.7,27.2,,0.35
6.316666667,0.44,,,0.3
17.23333333,0.63,27.3,,0.16
7.033333333,0.46,,,0.38
6.883333333,0.84,28.2,461,0.21
17.4,0.62,27.4,,0.1
17.43333333,0.66,27.5,,0.19
6.933333333,0.42,,,0.25
7.1,0.79,28.4,463,0.23
16.48333333,0.6,28.1,,0.31
6.916666667,0.4,,,0.2
16.53333333,0.59,27.7,,0.24
7.283333333,0.45,28.1,461,0.12
6.65,0.53,28.5,469,0.02
16.55,0.79,27.6,,0.34
6.533333333,0.54,28.7,464,0.11
6.816666667,0.66,,,0.31
6.533333333,0.49,28.1,461,0.06
16.41666667,0.53,28.5,,0.21
6.866666667,0.62,,,0.3
16.56666667,0.85,27.6,,0.32
6.65,0.71,,,0.58
6.433333333,0.47,28.5,465,0.26
16.51666667,0.87,27.8,,0.55
6.7,0.8,,,0.4
5.25,0.45,28.4,286,0.33
16.61666667,0.81,27.5,,0.52
6.8,0.78,,,0.45
5.616666667,0.51,28.5,285,0.12
16.55,0.85,27.9,,0.48
6.8,0.76,,,0.34
5.333333333,0.48,28.4,284,0.19
16.53333333,0.83,27.8,,0.38
6.8,0.78,,,0.35
4.833333333,0.43,28.4,286,0.39
17.33333333,0.53,28,,0.19
5.75,0.63,,,0.32
5.133333333,0.49,28.3,281,0.03
17.23333333,0.54,27.5,,0.2
5.783333333,0.95,,,0.42
17.21666667,0.57,27.5,,0.24
17.16666667,0.51,27.7,,0.01
5.683333333,0.87,,,0.6
17.16666667,0.5,28.2,,0.22
5.75,0.63,,,0.32
6.05,1.24,27,311,0.32
6.1,1.09,27.5,310,0.47
6.066666667,1.17,27.4,313,0.54
6.283333333,1.22,27.6,,0.55
6.2,0.71,27.5,314,0.38
6.566666667,0.4,27.6,309,0.34
6.55,0.97,27.7,304,0.77
6.666666667,0.94,27.8,307,0.78
6.316666667,0.82,27.9,304,0.27
6.65,0.58,27.4,312,0.44
6.466666667,1.18,27.5,309,1.01
6.5,1.1,27.7,310,0.26
6.5,1.08,27.4,307,0.87
6.683333333,1.08,28.3,310,0.88
6.566666667,0.66,27.8,309,0.41
6.6,0.76,28.5,309,0.2
6.55,0.75,28.2,307,0.38
6.55,0.73,27.8,,0.24
6.45,0.72,28,312,0.41
5.866666667,0.69,28.2,,0.28
5.816666667,0.42,27.4,311,0.38
5.883333333,0.72,28.3,,0.24
5.766666667,0.51,27.5,305,0.22
5.916666667,0.68,28.2,,0.21
5.783333333,0.52,27.3,304,0.16
5.916666667,0.61,27.9,,0.19
5.7,0.85,27.4,305,0.51
5.966666667,0.64,28.1,,0.3
5.166666667,0.54,27.9,,0.11
5.666666667,0.43,27.2,303,0.16
5.166666667,0.48,28.3,,0.16
7.066666667,2.26,27.3,313,1.54
5.183333333,0.5,28.2,,0.08
6.716666667,3.18,27.1,318,3.09
5.233333333,0.4,27.9,,0.35
5.266666667,0.58,28.4,,0.23
6.35,2.85,27.4,317,2.25
5.583333333,0.2,27.5,,0.14
6,2.52,27.4,315,2.13
5.583333333,0.34,28,,0.13
5.816666667,2.54,27.9,316,2.11
5.583333333,0.33,28.3,,0.14
5.616666667,0.26,27.4,,0.21
5.6,0.22,27.6,,0.1
6.283333333,0.85,27.5,,0.39
6.3,0.9,27.7,,0.37
6.433333333,0.82,,,0.55
6.266666667,0.94,27.8,,0.41
6.433333333,0.85,,,0.7
6.283333333,0.92,27.9,,0.33
6.5,0.92,,,0.62
6.416666667,0.81,,,0.32
6.383333333,0.93,27.8,,0.48
6.233333333,0.98,,,0.33
7.3,0.61,27.7,,0.34
7,0.45,27.5,,0.23
6.7,0.64,27.7,,0.18
6.816666667,0.59,27.6,,0.26
6.85,0.58,27.7,,0.24
15.48333333,0.26,,,0.09
5.483333333,1.02,27.5,,0.48
5.5,1.05,28.2,,0.59
16.7,0.18,,,0.1
5.483333333,1.2,27.9,,0.45
16.16666667,0.25,,,0.12
6.733333333,0.91,28.2,293,0.53
16.1,0.26,,,0.11
5.483333333,1.1,27.7,,0.39
6.183333333,1.17,28.4,286,0.01
16.2,0.33,,,0.13
5.5,0.29,27.7,,0.12
16.03333333,1.01,,,0.1
15.88333333,0.4,,,0.02
6.166666667,0.99,28.5,288,0.79
15.96666667,0.38,,,0.08
6.166666667,0.93,28.6,287,0.73
16.05,0.61,,,0.08
16.41666667,0.86,,,0.36
6.166666667,0.98,29.4,292,0.46
16.4,1.14,,,0.77
15.43333333,1.17,,,0.44
16.35,1.12,,,0.38
16.21666667,1.44,,,0.34
16.46666667,1.12,,,0.12
16.4,1.29,,,0.55
16.45,1.26,,,0.33
16.65,1.19,,,0.56
16.13333333,0.83,,,0.35
15.68333333,0.62,28,288,0.05
15.81666667,0.59,28.2,285,0.28
15.85,0.54,27.9,285,0.07
15.83333333,0.57,27.6,284,0.42
15.81666667,0.54,27.8,284,0.12
16.2,0.41,27.7,288,0.04
16.23333333,0.44,27.7,281,0.01
16.25,0.45,27.6,281,0.13
16.4,0.42,27.3,280,0.09
16.4,0.43,27.3,289,0.31
16.68333333,0.44,28.1,455,0.06
16.68333333,0.51,27.7,453,0.12
16.75,0.52,27.9,439,0.31
16.65,0.5,27.3,421,0.21
16.51666667,0.47,27.8,432,0.17
16.35,2,27,288,0.04
16.3,2.2,26.8,286,1.5
16.43333333,2.19,26.8,287,0.14
16.41666667,2.13,27.3,288,0.08
6,0.71,27.9,,0.34
5.833333333,0.88,27.7,,0.39
6.883333333,0.55,,,0.28
6.8,1.51,27.5,287,0.22
6.683333333,0.66,,,0.32
5.05,0.68,27.5,305,0.43
4.933333333,0.71,27.5,284,0.5
4.85,0.42,27.5,283,0.28
16.71666667,0.26,,0,0.23
7.183333333,0.6,27.8,463,0.08
16.36666667,1.35,27.4,,0.84
5.9,0.47,28.2,319,0.13
5.95,0.61,27.1,310,0.2
5.766666667,0.73,27.5,290,0.25
6.133333333,0.51,27.9,312,0.21
5.816666667,0.62,28.2,296,0.11
15.98333333,0.61,,,0.54
7.066666667,0.78,27.2,312,0.36
16.28333333,0.83,,,0.8
16.26666667,0.79,,,0.65
5.533333333,0.86,27.1,314,0.38
16.3,0.95,,,0.91
16.28333333,0.83,,,0.62
16.58333333,0.75,27.5,,0.21
16.28333333,0.54,27.5,,0.38
16.35,0.55,,,0.51
6.766666667,1.05,27.8,308,0.52
5.733333333,0.49,27.6,308,0.39
5.7,0.62,27.9,305,0.51
5.766666667,0.59,28.9,309,0.43
5.333333333,0.64,27.9,475,0.12
16.25,1.04,27.9,,0.35
6.483333333,0.81,28.8,312,0.58
6.9,0.35,27,309,0.06
4.716666667,0.65,27.5,283,0.33
7.183333333,0.62,28.6,436,0.13
7.016666667,0.65,27.9,294,0.12
5.933333333,0.72,27.8,,0.3
16.65,0.35,,0,0.32
16.6,0.42,,,0.37
16.11666667,0.52,,0,0.5
15.95,0.59,,,0.49
15.95,0.51,,,0.45
16.38333333,1.31,27.6,,0.95
5.333333333,0.85,27.3,314,0.36
5.25,0.63,28.2,462,0.22
16.85,0.48,27.5,,0.12
5.283333333,0.52,28.2,432,0.31
16.93333333,0.45,27.4,,0.09
5.383333333,0.61,28.2,451,0.13
16.36666667,0.51,,,0.49
7.083333333,0.57,27.7,290,0.21
5.9,0.65,28.4,296,0.41
5.6,0.68,28.7,305,0.38
16.28333333,1.17,27.8,,0.47
6.766666667,0.7,,,0.5
6.766666667,0.37,27.1,308,0.11
5.983333333,0.45,27.3,315,0.03
7.033333333,0.95,27,317,0.32
6.083333333,0.63,27.9,,0.26
6.033333333,0.79,27.9,,0.31
5.333333333,0.89,27.2,311,0.31
6.7,1.58,27.5,286,0.09
6.716666667,1.34,27.4,286,0.14
16.43333333,1.29,27.8,,0.92
5.45,0.61,28.2,462,0.21
16.83333333,0.44,27.4,,0.12
4.85,0.9,27.4,281,0.39
16.78333333,0.42,26.5,,0.11
16.63333333,0.63,27.8,,0.39
7.083333333,0.61,27.6,461,0.12
16.58333333,0.57,27.7,,0.35
16.23333333,1.02,28.1,,0.76
7.2,0.52,28,289,0.31
7.016666667,0.52,27.3,286,0.06
6.666666667,1.62,27.6,294,0.12
5.866666667,0.54,28.3,301,0.49
6.583333333,0.94,28.4,313,0.5
6.616666667,0.6,27.5,314,0.26
16.38333333,1.45,27.5,,0.89
16.81666667,0.41,27.1,,0.09
7.066666667,0.78,27.5,314,0.42
16.45,0.75,,,0.59
16.26666667,1.06,28.3,,0.37
6.733333333,1.08,28.9,292,0.13
6.766666667,0.61,28.6,292,0.11
6.633333333,0.58,27.4,313,0.27
6.266666667,0.52,27.6,318,0.12
7.183333333,0.56,27.8,462,0.06
7.333333333,0.62,28.6,432,0.12
6.033333333,0.66,27.7,288,0.25
15.98333333,0.64,,,0.51
16.25,0.63,27.5,,0.37
6.833333333,0.49,27.2,311,0.12
7.05,0.74,26.9,316,0.47
16.8,0.39,,,0.37
16.05,0.45,,,0.39
16.15,0.96,,,0.91
5.4,0.9,28.4,318,0.43
6.683333333,0.76,,,0.38
6.65,0.85,28.3,308,0.58
17.13333333,1.29,27.7,,0.49
5.366666667,0.85,27.1,314,0.45
6.616666667,0.7,,,0.41
16.25,0.63,,,0.6
16.25,0.81,,,0.75
16.25,1.09,27.9,,0.26
7.05,0.8,27.8,315,0.22
5.316666667,0.72,,,0.38
5.166666667,0.7,,,0.35
5.116666667,0.62,,,0.32
5.033333333,0.63,,,0.38
7.216666667,0.83,,,0.52
5.35,0.2,26.7,284,0.06
5.25,0.24,26.9,278,0.11
7.366666667,0.88,,,0.48
5.266666667,0.26,26.8,263,0.08
5.383333333,0.24,26.8,285,0.14
5.5,0.31,26.7,291,0.21
7.433333333,0.88,,,0.38
7.2,0.78,,,0.51
6.966666667,0.85,,,0.46
6.633333333,0.83,,,0.38
5.533333333,0.24,26.5,309,0.16
16.83333333,0.81,27.7,458,0.1
6.5,1.01,,,0.72
5.4,0.46,26.7,305,0.25
16.86666667,0.65,27.5,458,0.09
5.416666667,0.41,26.3,309,0.25
16.88333333,0.72,27.6,459,0.12
5.45,0.69,27.9,306,0.28
16.98333333,0.49,27.5,457,0.21
6.566666667,0.97,,,0.62
17.1,0.55,27.5,458,0.13
6.533333333,1,,,0.48
6.55,0.87,,,0.42
6.566666667,0.32,,,0.21
17.16666667,0.67,27.5,306,0.15
6.5,0.31,,,0.12
17.1,0.67,27.8,306,0.02
17.2,0.54,27.7,305,0.01
16.9,0.41,28.4,290,0.04
17.16666667,0.51,28.6,307,0.11
17.53333333,0.4,27.8,284,0.13
17.25,0.4,27.6,302,0.09
16.01666667,0.25,28.1,305,0.06
16.05,0.51,28.3,307,0.22
16.85,0.42,28.7,283,0.27
16.21666667,0.58,27.9,304,0.1
16.56666667,0.44,28.1,462,0.11
6.55,0.31,,,0.15
17.06666667,1.1,28.3,298,0.1
16.26666667,0.45,27.7,305,0.08
6.183333333,0.35,,,0.18
17.05,1.09,28.3,292,0.17
16.16666667,0.18,29.4,313,0.13
17.01666667,1.11,27.9,291,0.21
16.18333333,0.45,28,307,0.26
6.133333333,0.33,,,0.13
16.18333333,0.58,27.7,305,0.24
6.516666667,0.86,,,0.41
16.98333333,1.16,28.1,292,0.06
16.31666667,0.41,27.8,306,0.25
6.5,0.7,,,0.31
17.63333333,0.62,28.5,439,0.09
16.3,0.55,27.6,307,0.23
17.53333333,0.61,28.1,437,0.21
6.583333333,0.68,,,0.31
16.03333333,0.29,29.6,305,0.1
17.66666667,0.59,28.5,441,0.21
6.533333333,0.63,,,0.32
17.63333333,0.58,28.4,432,0.11
6.65,0.71,,,0.36
17.63333333,0.63,28.1,423,0.24
16.03333333,0.27,28.9,304,0.12
6.416666667,0.77,,,0.38
16.13333333,0.27,28.3,303,0.19
6.483333333,0.66,,,0.31
16.31666667,0.53,28.2,306,0.09
6.55,0.69,,,0.35
16.4,0.58,28.7,305,0.15
6.533333333,0.67,,,0.34
6.533333333,0.73,,,0.48
5.55,0.16,26.8,,0.11
5.516666667,0.15,26.8,,0.1
5.516666667,0.2,26.6,,0.12
5.366666667,0.23,26.8,,0.16
5.3,0.19,26.7,,0.14
5.783333333,0.61,27.3,,0.12
5.733333333,0.58,27.3,,0.15
5.75,0.61,27.5,,0.28
5.733333333,0.9,26.4,,0.37
5.716666667,0.96,26.8,,0.29
6.583333333,1.14,29,,0.43
6.466666667,0.69,28.6,,0.1
6.416666667,0.65,27.7,,0.21
