se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
6.266666667,0.64,27.4,,0.32
6.266666667,0.84,27.7,,0.41
6.266666667,0.67,28.5,,0.05
6.25,0.72,28.2,,0.28
6.166666667,0.54,28.7,,0.13
6.233333333,0.76,28.5,,0.34
7.516666667,0.32,28.9,,0.28
7.466666667,0.33,28.5,,0.15
7.283333333,0.31,27.5,,0.17
7.25,0.38,27.4,,0.12
7.25,0.45,27.6,,0.15
5.566666667,0.35,28,,0.16
5.5,0.46,27.9,,0.12
5.45,0.74,28.3,,0.19
5.433333333,0.53,28.2,,0.14
5.35,0.62,28.4,,0.18
6.116666667,0.65,28.9,476,0.2
6.05,0.52,28.1,461,0.11
5.65,0.61,28.4,461,0.13
5.866666667,0.56,28.1,442,0.08
7.533333333,0.49,28.2,288,0.21
7.583333333,0.52,28.6,284,0.11
7.55,0.61,28.3,283,0.09
7.433333333,0.57,28.4,281,0.31
7.183333333,0.93,28.6,294,0.32
7.05,1.04,28.8,287,0.62
7.116666667,0.98,28.8,286,0.31
6.933333333,0.98,28.6,288,0.11
6.983333333,1.01,28.8,295,0.32
6.65,0.84,28.5,0,0.22
6.766666667,0.78,28.1,445,0.13
6.8,0.95,28.4,317,0.32
6.566666667,0.84,28.1,313,0.21
6.466666667,0.86,28.3,386,0.31
7.016666667,0.82,28.1,513,0.23
7.3,0.83,27.9,468,0.31
7.3,0.65,27.9,462,0.42
7.266666667,0.82,28.1,471,0.06
7.2,0.83,29.5,459,0.23
5.366666667,1.08,27.8,314,0.23
5.416666667,1.02,27.7,284,0.32
5,1.09,27.3,291,0.31
5.866666667,0.26,27.8,321,0.05
5.233333333,3.12,27.9,,2.59
5.716666667,0.73,,,0.31
5.866666667,0.63,28.1,311,0.19
5.183333333,0.57,28.1,,0.31
5.75,0.68,,,0.38
5.933333333,0.45,28.6,312,0.11
5.166666667,0.49,28.2,,0.21
6.016666667,0.29,27.9,313,0.02
5.916666667,0.67,,,0.32
5.166666667,0.48,27.4,,0.19
6.233333333,0.22,27.6,310,0.04
5.166666667,0.38,27.7,,0.14
5.466666667,0.82,,,0.36
5,0.68,,,0.38
6.183333333,0.91,27.6,321,0.48
6.4,0.9,27.7,318,0.45
6.483333333,0.95,27.5,319,0.77
6.483333333,0.88,27.8,318,0.69
6.183333333,0.68,28.2,320,0.2
6.233333333,0.65,27.7,314,0.22
16.85,0.45,28,,0.24
6.15,0.66,28.7,313,0.19
16.88333333,0.43,27.8,,0.21
16.11666667,0.1,,,0.07
6.25,0.64,27.5,311,0.17
16.91666667,0.53,27.9,,0.06
16.08333333,0.1,,,0.09
6.4,0.65,27.7,315,0.29
17.18333333,0.54,28.3,,0.14
5.85,0.41,29,308,0.3
16.15,0.24,,,0.15
16.2,0.16,,,0.1
5.816666667,0.56,29.6,313,0.2
17.48333333,0.52,28.1,,0.11
16.25,0.4,,,0.28
16.15,0.44,,,0.41
16.78333333,1.31,28.1,,0.88
5.65,0.57,29.5,312,0.27
16.71666667,1.41,28.1,,0.92
16.73333333,1.29,27.9,,0.79
16.75,1.29,27.7,,0.32
15.95,0.26,,,0.24
15.95,0.45,,,0.42
16.71666667,1.26,28,,0.51
15.8,0.43,,,0.41
16.5,0.66,28.8,,0.24
5.783333333,0.46,29.8,307,0.33
15.75,0.4,,,0.39
16.56666667,0.65,28.7,,0.13
15.83333333,0.55,,,0.51
5.866666667,0.45,29.5,317,0.21
16.65,0.57,28.5,,0.04
15.91666667,0.47,,,0.44
16.61666667,0.59,28.4,,0.5
6.183333333,0.48,28,308,0.25
16.66666667,0.59,28.2,,0.08
15.88333333,0.44,,,0.4
16.2,0.42,28.5,,0.09
15.91666667,0.46,,,0.32
5.966666667,0.37,28.9,308,0.1
16.3,0.55,28.2,,0.12
5.933333333,0.38,29.7,307,0.23
16.13333333,0.39,,,0.35
5.866666667,0.26,29.8,304,0.1
16.28333333,0.5,28.1,,0.11
16.01666667,0.43,,,0.42
16.25,0.48,,,0.45
16.23333333,0.52,28,,0.09
6.033333333,0.67,28,306,0.54
16.25,0.39,,,0.36
16.3,0.48,27.5,,0.07
4.816666667,0.55,28,307,0.42
16.23333333,0.45,,,0.43
4.583333333,0.41,28.3,307,0.28
16.26666667,0.48,,,0.46
4.433333333,0.44,28.7,308,0.35
4.466666667,0.51,29,305,0.2
4.85,0.43,15,,0.23
4.9,0.63,15,,0.19
4.95,0.62,15.1,0,0.27
4.916666667,0.62,15,,0.22
4.883333333,0.46,15.1,,0.33
16.76666667,0.57,28.3,288,0.36
16.95,0.67,27.8,287,0.11
16.75,0.6,27.8,285,0.12
15.93333333,1.02,29,454,0.25
16.25,1.06,28.9,448,0.86
16.95,1.04,28.8,463,0.32
17.03333333,1.01,28.7,463,0.41
16.93333333,1.12,28.8,461,0.34
16.76666667,0.71,28.6,458,0.19
17.03333333,0.68,28.4,449,0.03
17.11666667,0.61,27.5,448,0.03
17.13333333,0.67,27.8,468,0.12
17.06666667,0.63,27.8,482,0.06
16.63333333,1.33,28.8,490,0.25
16.73333333,1.1,28.6,504,0.23
16.66666667,1.15,28,447,0.13
16.7,1.06,27.9,458,0.21
5.966666667,0.72,29.1,319,0.36
6.033333333,1.02,28.6,313,0.54
6.116666667,0.77,28.1,315,0.15
6.083333333,0.75,27.7,312,0.49
6.183333333,0.77,28,231,0.32
5.95,0.69,,,0.65
5.483333333,1.35,28,,0.68
5.833333333,0.28,,,0.25
16.95,0.22,28.9,307,0.1
5.466666667,1.27,28.1,,0.49
5.833333333,0.67,,,0.65
5.433333333,1.25,28.1,,0.55
16.9,0.42,28.6,306,0.19
5.883333333,0.71,,,0.69
16.95,0.28,28.3,308,0.13
5.416666667,1.04,28.1,,0.39
5.983333333,0.87,,,0.85
5.45,0.94,29,,0.42
17.05,0.33,28.4,305,0.12
7.333333333,0.08,,,0.06
6.316666667,0.37,28.5,,0.15
7.383333333,0.05,,,0.04
6.316666667,0.48,28.4,,0.18
7.383333333,0.21,,,0.19
6.333333333,0.49,28.3,,0.17
6.3,0.51,28.5,,0.19
7.366666667,0.15,,,0.13
6.266666667,0.42,29.1,,0.2
7.266666667,0.19,,,0.16
7.4,1.12,28.2,,0.68
6.25,0.1,,,0.09
17.15,0.35,28.8,305,0.11
7.35,1.14,28.3,,0.54
6.283333333,0.01,,,0.01
7.25,1.29,28,,0.48
16.41666667,0.36,29,308,0.13
6.316666667,0.01,,,0.01
16.58333333,0.45,28.3,312,0.2
7.233333333,1.05,28.2,,0.41
6.266666667,0.23,,,0.22
16.35,0.49,28.3,305,0.14
7.15,1.27,28.1,,0.52
6.283333333,0.2,,,0.02
16.55,0.56,28.1,306,0.3
6.5,0.67,28.3,,0.31
6.716666667,0.11,,,0.09
16.48333333,0.51,28.1,307,0.16
6.483333333,0.86,28.9,,0.54
6.7,0.08,,,0.06
16.71666667,0.46,28.3,305,0.17
6.483333333,0.86,28.8,,0.37
6.616666667,0.15,,,0.13
16.86666667,0.44,28.4,305,0.14
6.683333333,0.17,,,0.16
17.01666667,0.44,28.2,306,0.15
6.283333333,0.78,29.7,,0.27
6.633333333,0.18,,,0.16
17.05,0.5,28.1,304,0.1
6,0.14,28.4,,0.05
6.383333333,0.12,,,0.11
17,0.48,28.6,308,0.08
5.916666667,0.3,28.3,,0.12
16,0.63,28,283,0.27
5.8,0.35,28.1,,0.06
6.35,0.09,,,0.07
15.8,0.76,27.3,310,0.25
5.733333333,0.32,28,,0.24
6.35,0.13,,,0.11
15.73333333,0.73,27.5,311,0.22
5.666666667,0.25,28.2,,0.09
6.35,0.11,,,0.09
15.75,0.74,28.3,314,0.13
4.983333333,0.71,27.2,,0.19
6.6,0.16,,,0.11
15.88333333,0.69,27.8,312,0.27
4.9,1.05,27.6,,0.36
6.166666667,0.13,,,0.12
4.883333333,0.7,27.8,,0.24
6.133333333,0.16,,,0.11
4.866666667,0.5,27.7,,0.17
6.016666667,0.17,,,0.15
4.866666667,0.86,27.8,,0.39
5.833333333,0.19,,,0.17
5.8,0.11,,,0.09
5.083333333,0.43,28.3,,0.18
5.1,0.37,29.5,,0.21
5.7,1.04,28.3,322,0.54
5.016666667,0.37,28.7,,0.12
5.583333333,0.98,28.2,299,0.36
4.95,0.42,28.5,,0.18
5.466666667,1.01,28,288,0.47
4.916666667,0.35,28.1,,0.19
5.383333333,0.85,28.4,278,0.42
5.333333333,1,28.4,277,0.42
6.016666667,0.9,27.8,272,0.32
5.966666667,0.88,27.4,266,0.84
5.966666667,0.84,28,269,0.46
5.983333333,0.77,28,272,0.31
5.95,0.6,27.9,270,0.09
6.366666667,0.69,28.2,273,0.09
17.46666667,0.2,28,,0.11
6.316666667,0.49,28.3,270,0.27
17.48333333,0.22,27.9,,0.2
17,0.41,27.5,,0.15
6.233333333,0.57,28,268,0.16
6.1,0.76,26.8,315,0.34
17.18333333,0.2,27.5,,0.05
6.066666667,0.6,27.7,321,0.3
6.066666667,0.52,27.8,265,0.17
17.25,0.44,27.8,,0.17
6.083333333,0.74,26.9,314,0.41
6.283333333,1.24,27.8,436,0.32
15.95,1.1,27.8,,0.55
6.083333333,0.81,27,315,0.32
6.233333333,0.48,27.2,435,0.16
15.98333333,1.22,27.5,,0.39
6.1,0.78,27.2,315,0.38
6.35,0.93,28.6,442,0.48
15.96666667,1.13,27.3,,0.68
6.383333333,1.16,28.4,438,0.21
15.98333333,1.19,27.3,,0.56
6.383333333,0.55,26.6,320,0.24
6.45,1.06,28.3,437,0.23
15.98333333,1.24,26.9,,0.42
7.116666667,0.88,27.9,282,0.11
7.083333333,0.93,27.3,274,0.16
16.48333333,1.19,27.6,,0.61
7.05,0.82,27,277,0.25
16.45,0.48,28.1,,0.17
6.4,0.54,27.2,314,0.25
16.45,0.55,27.9,,0.1
7.033333333,0.82,27.6,277,0.16
6.25,0.52,27.4,315,0.18
16.46666667,0.56,28.1,,0.16
6.75,0.92,27.8,286,0.13
6.066666667,1.06,27.9,438,0.42
16.48333333,0.54,27.8,,0.12
6.2,0.58,28.1,314,0.2
5.316666667,0.93,28.1,436,0.34
16.8,0.68,28.2,,0.06
6.183333333,0.6,28.3,315,0.26
5.483333333,1.01,28,431,0.26
16.73333333,0.72,28,,0.12
6.183333333,0.78,27.3,330,0.58
16.71666667,0.81,28,,0.13
7.333333333,0.34,,,0.35
5.55,0.92,28.5,322,0.28
5.333333333,1.12,28.1,429,0.32
16.7,0.57,27.9,,0.13
5.55,0.76,28,313,0.45
7.166666667,0.67,,,0.32
16.66666667,0.49,28,,0.05
6.566666667,0.45,,,0.32
5.533333333,0.69,28.2,312,0.4
5.616666667,0.6,28.4,311,0.3
6.7,0.56,,,0.3
6.733333333,0.27,27.6,308,0.09
6.383333333,0.45,,,0.25
6.55,0.53,27.5,306,0.2
6.5,0.45,27.6,310,0.18
6.216666667,0.37,27.9,305,0.13
6.083333333,0.41,27.5,317,0.2
6.016666667,0.39,28.1,308,0.12
16.41666667,0.4,,,0.28
6.05,0.34,26.8,305,0.09
16.41666667,0.18,,,0.12
5.983333333,0.41,26.7,309,0.14
5.816666667,0.54,27.3,309,0.22
16.35,0.29,,,0.25
4.916666667,0.52,28,308,0.22
16.26666667,0.23,,,0.18
4.95,0.33,27.9,304,0.17
16.23333333,0.31,,,0.25
16.9,0.79,,,0.51
4.95,0.28,28.3,308,0.11
5.1,0.32,26.8,308,0.09
16.68333333,0.34,,,0.25
5.166666667,0.36,26.8,309,0.13
16.71666667,0.2,,,0.15
16.5,0.32,,,0.22
16.35,0.58,,,0.39
16.78333333,0.85,,,0.7
16.75,1.02,,,0.8
16.73333333,0.8,,,0.56
16.68333333,1.05,,,0.86
16.55,0.92,,,0.66
16.33333333,0.66,,,0.42
16.45,0.83,,,0.53
16.51666667,0.63,,,0.41
16.36666667,0.72,,,0.38
16.33333333,0.65,,,0.43
6.316666667,0.39,,,0.15
6.533333333,0.37,,,0.18
6.366666667,0.35,,,0.15
6.316666667,0.32,,,0.22
6.383333333,0.36,,,0.26
6.366666667,0.42,,,0.25
6.516666667,0.38,,,0.28
6.433333333,0.2,,,0.12
6.466666667,0.18,,,0.15
6.566666667,0.23,,,0.18
6.55,0.04,,,0.01
6.6,0.19,,,0.1
6.783333333,0.13,,,0.08
6.7,0.22,,,0.1
6.866666667,0.13,,,0.08
5.95,0.49,,,0.45
6.716666667,1.98,27.2,286,0.62
6.133333333,0.29,,,0.17
6.65,1.93,27.3,278,0.42
6.133333333,0.45,,,0.41
6.733333333,1.21,27.5,275,0.69
6.183333333,0.6,,,0.57
6.65,0.92,27.8,275,0.52
6.45,0.56,,,0.51
6.516666667,2.16,28.5,278,0.31
6.316666667,0.19,,,0.11
6.433333333,0.13,,,0.08
6.45,0.12,,,0.07
6.666666667,0.14,,,0.09
6.583333333,0.17,,,0.12
6.2,0.54,,,0.35
6.35,0.48,,,0.32
6.5,0.61,,,0.31
6.45,0.44,,,0.31
6.416666667,0.48,,,0.3
16.78333333,0.83,27,271,0.58
16.78333333,1.04,26.6,271,0.38
16.73333333,0.86,26.9,273,0.67
16.76666667,1.02,26.9,276,0.35
16.85,0.91,28.7,276,0.58
16.9,0.66,28.1,286,0.21
16.9,0.69,27.5,267,0.39
16.88333333,0.64,27.4,264,0.36
17.03333333,0.6,27.5,267,0.1
17.15,0.62,27.4,263,0.18
16.5,0.54,27.3,268,0.28
16.61666667,0.53,27.3,265,0.38
16.58333333,0.55,28,266,0.16
16.6,0.5,27.8,266,0.24
16.81666667,0.55,27.6,264,0.24
6,1.14,,,0.89
5.883333333,0.98,,,0.78
5.916666667,0.9,,,0.74
5.9,0.89,,,0.61
5.983333333,0.82,,,0.65
6.233333333,0.34,28.1,,0.14
6.2,0.33,27.4,,0.15
6.166666667,0.25,27.4,,0.09
6.133333333,0.29,27.3,,0.11
6.033333333,0.45,27.6,,0.19
5,1.06,26.9,,0.48
5,1.09,26.7,,0.5
4.983333333,1.38,27.5,,0.61
5.066666667,1.28,26.6,,0.48
5.183333333,1.27,26.6,,0.63
16.96666667,1.43,,,1.11
7.05,0.28,26.5,,0.09
16.98333333,1.62,,,0.86
7.033333333,0.74,26.1,,0.26
16.98333333,1.34,,,0.83
7.05,0.41,24.1,,0.19
17.05,1.28,,,0.97
7.066666667,0.62,24.4,,0.27
16.9,0.49,,,0.09
7.1,0.68,26.5,,0.25
17.06666667,0.47,,,0.13
6.566666667,0.85,26.8,,0.36
17.13333333,0.48,,,0.14
6.533333333,2.21,27.1,,0.99
17.18333333,0.57,,,0.2
6.383333333,1.47,27.5,,0.67
17.25,0.53,,,0.18
6.416666667,1.4,27.4,,0.64
17.33333333,0.73,,,0.19
6.35,1.15,27.6,,0.49
17.28333333,0.74,,,0.15
6.333333333,0.53,27,,0.22
17.48333333,0.67,,,0.3
6.283333333,0.57,27.1,,0.19
17.58333333,0.71,,,0.37
6.283333333,0.92,26.9,,0.38
17.53333333,0.74,,,0.21
6.333333333,0.87,27.3,,0.4
6.366666667,0.72,26.8,,0.31
5.633333333,0.46,27,,0.18
5.616666667,0.54,27.1,,0.14
5.616666667,0.37,27.3,,0.2
5.583333333,0.8,27.5,,0.36
5.583333333,0.41,27.4,,0.17
6.05,0.34,,,0.28
6.116666667,0.26,,,0.18
6.283333333,0.52,,,0.36
6.416666667,0.42,,,0.23
6.466666667,0.36,,,0.2
6.333333333,0.81,,,0.48
6.366666667,0.49,,,0.31
6.5,0.61,,,0.28
6.733333333,0.84,,,0.51
6.683333333,0.64,,,0.42
6.166666667,1.03,26.8,432,0.24
6.1,1.02,27.6,437,0.29
6.183333333,1.02,27.4,435,0.23
6.133333333,0.93,27.9,437,0.46
6.2,0.84,28.2,439,0.18
5.566666667,0.84,27.3,275,0.27
5.316666667,0.82,27,270,0.25
5.433333333,0.81,27.2,276,0.22
5.416666667,0.75,27.5,273,0.24
5.466666667,0.65,27.4,277,0.2
5.766666667,0.66,,,0.35
5.766666667,0.81,,,0.38
5.8,0.52,,,0.26
5.75,0.74,,,0.35
5.75,0.82,,,0.47
6.566666667,0.86,,,0.33
6.533333333,0.62,,,0.31
6.533333333,0.86,,,0.37
6.566666667,0.55,,,0.21
6.566666667,0.75,,,0.24
5.966666667,2.36,27,,1.42
5.933333333,2.58,27.2,,1.28
5.766666667,2.48,27.1,,1.39
5.4,2.19,27.5,,0.98
5.333333333,2.43,27.1,,1.12
5.883333333,1.33,27.5,,0.78
5.866666667,1.63,26.6,,1.05
5.833333333,1.91,26.8,,0.86
5.783333333,1.51,26.7,,0.67
5.683333333,1.96,26.7,,0.98
6.133333333,1.28,27.3,278,0.29
6.2,1.11,27.5,277,0.45
6.433333333,1.18,27.2,281,0.06
6.45,1.06,27.4,279,0.44
6.45,0.9,27.1,278,0.31
17.83333333,0.58,27.3,269,0.49
16.73333333,0.67,27.2,264,0.1
16.66666667,0.6,27,265,0.4
16.66666667,0.63,27.3,280,0.57
16.65,0.65,27,263,0.52
16.65,1.09,26.7,281,0.51
16.61666667,0.74,26.8,281,0.31
16.5,0.75,29.9,279,0.21
16.58333333,1.24,27,276,0.52
16.68333333,0.99,26.9,283,0.42
16.46666667,0.75,27.1,385,0.15
16.5,0.88,27,384,0.09
16.55,0.9,27.1,383,0.33
16.45,0.86,26.7,386,0.05
16.58333333,0.8,27.3,386,0.18
5.466666667,0.96,,,0.38
4.533333333,1.22,24.9,286,1.1
5.366666667,0.96,,,0.46
7.416666667,1.08,25.2,294,0.31
4.55,1.36,24.6,287,1.3
4.3,1.3,25.1,288,0.97
7.55,0.82,24.6,295,0.23
7.6,0.68,24.2,293,0.31
7.466666667,0.94,25.1,293,0.26
6.133333333,0.91,24.3,459,0.06
6.233333333,1.11,24.2,462,0.69
6.416666667,1.19,24.5,465,0.05
5.166666667,0.81,25.6,460,0.11
5.1,0.71,26.4,461,0.22
6.2,1.45,25.1,462,0.19
5.333333333,0.64,25.9,469,0.01
5.25,0.73,26.1,462,0.66
15.83333333,1.11,26,432,0.56
15.8,1.76,27,427,0.48
15.81666667,1.79,27.1,425,0.49
15.83333333,1.76,26.5,425,0.3
15.83333333,1.68,26.4,427,0.68
3.966666667,0.95,27.7,274,0.14
3.916666667,0.88,20.2,275,0.56
3.883333333,0.92,27.5,273,0.26
16.56666667,0.48,,,0.32
16.3,0.68,,,0.31
14.3,1.01,25.6,,0.29
5.683333333,1.09,,,0.61
16.38333333,0.48,,,0.18
14.33333333,1.05,25.2,,0.42
14.33333333,1.05,24.8,,0.27
16.48333333,0.52,,,0.25
16.38333333,0.58,,,0.21
15.58333333,1.04,26.4,,0.35
15.8,0.48,,,0.2
5.316666667,1,,,0.45
14.36666667,1.04,26.9,,0.26
15.75,0.48,,,0.22
5.5,1.12,,,0.65
14.26666667,1.06,25.8,,0.28
5.633333333,0.99,,,0.46
16.03333333,0.68,,,0.31
8.2,1.44,,,0.45
15.23333333,1,25,,0.28
16.01666667,0.48,,,0.18
8.116666667,1.56,,,0.74
15.26666667,1.05,26.2,,0.33
16.11666667,0.58,,,0.24
5.2,1.02,,,0.63
8.416666667,1.98,,,0.71
15.96666667,0.41,,,0.18
15.6,1.79,26.2,,0.68
8.316666667,1.55,,,0.55
15.2,0.97,25.5,,0.34
16.05,0.4,,,0.18
8.266666667,1.57,,,0.62
15.21666667,1.06,26.1,,0.36
5.816666667,0.99,,,0.6
15.46666667,1.82,26.1,,0.79
15.83333333,0.45,,,0.21
5.95,1.07,,,0.62
15.53333333,1.84,25.7,,0.78
5.933333333,1.1,,,0.68
15.76666667,0.48,,,0.24
15.58333333,1.85,26.3,,0.91
5.916666667,1.15,,,0.67
15.36666667,1.81,26.4,,0.84
15.78333333,0.51,,,0.28
5.2,0.91,,,0.35
5.966666667,1.14,,,0.83
4.416666667,1.31,24.9,287,0.78
5.35,0.99,,,0.51
5.25,0.96,,,0.6
4.583333333,0.88,26.7,,0.37
4.616666667,0.67,27.2,,0.28
4.633333333,0.67,27.2,,0.32
4.616666667,0.84,26.8,,0.64
4.55,0.82,,,0.57
4.366666667,0.98,,,0.99
6.433333333,0.82,26,,0.31
5.816666667,0.98,25.7,,0.84
5.2,0.87,26.2,,0.13
4.25,0.97,,,0.81
4.733333333,0.79,26,,0.28
4.183333333,0.62,26.9,,0.04
5.316666667,0.58,,,0.33
5.283333333,0.72,,,0.06
5.366666667,0.37,,,0.22
5.416666667,0.73,,,0.4
5.4,0.59,,,0.32
5.016666667,0.66,26.3,,0.37
5,0.88,25.6,,0.38
5.1,0.67,25.9,,0.46
5.116666667,0.64,26.2,,0.68
5.1,0.54,26,,0.22
5.616666667,0.7,26.9,,0.31
5.583333333,0.92,26.2,,0.81
5.533333333,0.84,26,,0.46
5.45,1.01,25.6,,0.33
5.483333333,0.89,25.9,,0.42
6.033333333,0.84,,,0.85
6,1.23,,,0.96
5.933333333,1.16,,,0.83
5.833333333,0.94,,,0.32
5.683333333,0.79,,,0.86
5.533333333,0.91,,,0.38
5.533333333,0.82,,,0.71
5.566666667,0.91,,,0.52
5.233333333,1.06,,,0.66
5.333333333,0.85,,,0.76
5.5,0.6,26.2,274,0.28
5.416666667,0.51,26.9,271,0.15
5.466666667,0.47,25.9,271,0.24
5.433333333,0.54,25.4,270,0.39
5.35,0.52,25.4,278,0.17
16.7,1.37,27.1,272,0.97
16.68333333,1.28,27.7,273,0.54
16.76666667,1.34,27.4,273,0.74
16.75,1.31,26.3,272,0.2
16.76666667,1.33,27.1,272,1.05
16.46666667,0.24,26.6,277,0.09
16.55,0.22,26.2,278,0.1
16.61666667,0.2,26.1,269,0.06
16.61666667,0.31,25.5,272,0.19
16.63333333,0.37,28.8,27,0.21
16.81666667,0.75,,,0.63
16.85,0.8,,,0.45
16.85,0.68,,,0.22
17.01666667,0.75,,,0.53
17.01666667,0.64,,,0.2
5.85,0.4,25.3,,0.14
5.883333333,0.71,25.2,,0.44
5.166666667,0.96,25.2,,0.81
4.766666667,0.85,25.1,,0.86
5.25,1,25.3,,0.91
5.216666667,1.03,24.9,,0.96
5.233333333,0.38,25.1,,0.29
5.633333333,0.37,25.2,,0.42
6.083333333,0.25,25.1,,0.15
6.233333333,0.3,25.2,,0.27
5.366666667,0.8,24.7,,0.81
5.416666667,0.75,24.6,,0.77
5.433333333,0.66,25.2,,0.32
5.5,0.89,24.9,,0.89
5.45,0.85,24.4,,0.58
5.433333333,0.44,24.5,,0.15
5.483333333,0.33,23.8,,0.35
5.2,0.44,24.2,,0.27
5.633333333,0.49,24.3,,0.1
5.45,0.32,24.8,,0.12
5.5,1.53,24.1,,1.5
5.633333333,1.93,25,,1.82
5.516666667,1.02,24.2,,1.04
5.533333333,1.83,24,,1.82
5.133333333,1.37,25.5,,1.34
16.31666667,0.21,27,272,0.14
16.25,0.26,27.2,271,0.12
16.33333333,0.28,26.6,268,0.13
16.48333333,0.38,26.7,266,0.09
16.51666667,0.31,26.7,275,0.14
16.18333333,1.05,25.8,276,0.57
16.26666667,0.92,25.4,275,0.8
16.25,1.15,26.3,272,0.51
16.21666667,1.13,26,270,0.39
16.23333333,1.2,25.8,270,0.59
4.766666667,0.17,,,0.1
16.11666667,0.82,24.4,276,0.16
4.883333333,0.25,,,0.19
16.16666667,1.12,26.4,275,0.75
4.866666667,0.19,,,0.02
4.866666667,0.22,,,0.14
16.11666667,1.24,26.4,272,0.5
4.966666667,0.15,,,0.18
16.18333333,1.47,25.7,271,1.07
16.26666667,1.43,25.1,273,0.71
16.75,0.98,,,0.03
16.71666667,1.2,,,0.11
16.05,0.84,26.7,277,0.45
16.73333333,0.91,,,0.11
16.03333333,0.87,27.6,273,0.64
16.75,1.13,,,0.45
16.11666667,0.81,27.5,272,0.64
16.63333333,1.24,,,0.48
16.31666667,0.56,,,0.52
16.1,0.88,25.9,275,0.48
16.35,0.57,,,0.06
16.13333333,0.79,24.2,277,0.38
16.33333333,0.7,,,0.65
16.28333333,0.72,,,0.41
16.45,0.78,,,0.45
16.5,1.61,,,1.15
16.55,1.51,,,1.09
16.61666667,1.36,,,1.36
6,0.58,23.7,270,0.29
16.76666667,1.52,,,1.18
5.983333333,0.76,23,271,0.32
5.9,0.75,23.9,271,0.41
15.96666667,1.38,,,0.09
6.066666667,0.9,22.3,272,0.5
6.15,0.88,22.9,272,0.61
15.98333333,1.17,,,0.54
16.06666667,1.1,,,0.05
16.08333333,1.38,,,0.67
16.1,1.35,,,1.18
5.55,1.01,,,0.67
5.533333333,0.96,,,0.71
5.466666667,0.76,,,0.61
5.566666667,0.95,,,0.48
5.583333333,0.8,,,0.65
5.266666667,0.13,,,0.07
5.283333333,0.28,,,0.16
5.2,0.64,,,0.33
5.25,0.72,,,0.37
5.2,0.31,,,0.08
5.433333333,0.26,,,0.03
5.433333333,0.21,,,0.08
5.366666667,0.28,,,0.06
5.316666667,0.43,,,0.11
5.266666667,0.38,,,0.06
5.25,0.28,,,0.01
5.266666667,0.55,,,0.01
5.283333333,0.55,,,0.13
5.283333333,0.52,,,0.2
5.466666667,0.21,,,0.11
5.466666667,0.36,,,0.03
5.416666667,0.43,,,0.13
5.383333333,0.4,,,0.1
5.233333333,0.17,,,0.14
5.2,0.84,,,0.08
5.133333333,0.57,,,0.23
5.1,0.25,,,0.09
5,0.27,,,0.23
